Cache Size (KB),Block Size,Associativty,Replacement Policy,Total Blocks,Tag Size (bits),Index Size (bits),Total Rows,Overhead Size,Implementation Size,Cost ($),Total Accesses,Total Hits,Total Misses,Compulsory Misses,Conflict Misses,Hit Rate,Miss Rate,CPI,Unused Space,Unused Blocks,Waste ($),Filename
8,64,8,Round Robin,128,22,4,16,368,8,0.59,354809,340898,13911,128,13783,96.08%,3.92%,5.61,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,8,Round Robin,128,22,4,16,368,8,0.59,366344,347726,18618,128,18490,94.92%,5.08%,6.48,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,8,Round Robin,128,22,4,16,368,8,0.59,417698,406161,11537,128,11409,97.24%,2.76%,4.89,0.00%,0,0,Corruption2.trc
8,64,8,Random,128,22,4,16,368,8,0.59,354809,314034,40775,128,40647,88.51%,11.49%,10.5,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,8,Random,128,22,4,16,368,8,0.59,366344,318757,47587,128,47459,87.01%,12.99%,11.69,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,8,Random,128,22,4,16,368,8,0.59,417698,371980,45718,128,45590,89.05%,10.95%,10.21,0.00%,0,0,Corruption2.trc
16,4,2,Round Robin,4096,19,11,2048,10240,26,1.82,475872,433433,42439,4096,38343,91.08%,8.92%,4.49,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,2,Round Robin,4096,19,11,2048,10240,26,1.82,482641,416800,65841,4096,61745,86.36%,13.64%,4.7,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,2,Round Robin,4096,19,11,2048,10240,26,1.82,580244,539898,40346,4096,36250,93.05%,6.95%,4.6,0.00%,0,0,Corruption2.trc
16,4,2,Random,4096,19,11,2048,10240,26,1.82,475872,420511,55361,4096,51265,88.37%,11.63%,4.61,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,2,Random,4096,19,11,2048,10240,26,1.82,482641,399278,83363,4096,79267,82.73%,17.27%,4.85,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,2,Random,4096,19,11,2048,10240,26,1.82,580244,524780,55464,4096,51368,90.44%,9.56%,4.71,0.00%,0,0,Corruption2.trc
16,4,4,Round Robin,4096,20,10,1024,10752,26,1.86,475872,437774,38098,4096,34002,91.99%,8.01%,4.46,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,4,Round Robin,4096,20,10,1024,10752,26,1.86,482641,421673,60968,4096,56872,87.37%,12.63%,4.65,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,4,Round Robin,4096,20,10,1024,10752,26,1.86,580244,543543,36701,4096,32605,93.67%,6.33%,4.57,0.00%,0,0,Corruption2.trc
16,4,4,Random,4096,20,10,1024,10752,26,1.86,475872,411560,64312,4096,60216,86.49%,13.51%,4.68,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,4,Random,4096,20,10,1024,10752,26,1.86,482641,379091,103550,4096,99454,78.55%,21.45%,5.02,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,4,Random,4096,20,10,1024,10752,26,1.86,580244,513389,66855,4096,62759,88.48%,11.52%,4.8,0.00%,0,0,Corruption2.trc
16,4,8,Round Robin,4096,21,9,512,11264,27,1.89,475872,439173,36699,4096,32603,92.29%,7.71%,4.44,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,8,Round Robin,4096,21,9,512,11264,27,1.89,482641,423713,58928,4096,54832,87.79%,12.21%,4.64,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,8,Round Robin,4096,21,9,512,11264,27,1.89,580244,544571,35673,4096,31577,93.85%,6.15%,4.57,0.00%,0,0,Corruption2.trc
16,4,8,Random,4096,21,9,512,11264,27,1.89,475872,398362,77510,4096,73414,83.71%,16.29%,4.8,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,4,8,Random,4096,21,9,512,11264,27,1.89,482641,365216,117425,4096,113329,75.67%,24.33%,5.14,0.00%,0,0,A-9_new_1.5.pdf.trc
16,4,8,Random,4096,21,9,512,11264,27,1.89,580244,500338,79906,4096,75810,86.23%,13.77%,4.89,0.00%,0,0,Corruption2.trc
16,8,2,Round Robin,2048,19,10,1024,5120,21,1.47,413303,387337,25966,2048,23918,93.72%,6.28%,4.11,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,2,Round Robin,2048,19,10,1024,5120,21,1.47,420288,380511,39777,2048,37729,90.54%,9.46%,4.39,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,2,Round Robin,2048,19,10,1024,5120,21,1.47,490514,464813,25701,2048,23653,94.76%,5.24%,4.08,0.00%,0,0,Corruption2.trc
16,8,2,Random,2048,19,10,1024,5120,21,1.47,413303,378263,35040,2048,32992,91.52%,8.48%,4.29,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,2,Random,2048,19,10,1024,5120,21,1.47,420288,368610,51678,2048,49630,87.70%,12.30%,4.63,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,2,Random,2048,19,10,1024,5120,21,1.47,490514,454379,36135,2048,34087,92.63%,7.37%,4.26,0.00%,0,0,Corruption2.trc
16,8,4,Round Robin,2048,20,9,512,5376,21,1.49,413303,389853,23450,2048,21402,94.33%,5.67%,4.06,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,4,Round Robin,2048,20,9,512,5376,21,1.49,420288,383587,36701,2048,34653,91.27%,8.73%,4.33,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,4,Round Robin,2048,20,9,512,5376,21,1.49,490514,466978,23536,2048,21488,95.20%,4.80%,4.04,0.00%,0,0,Corruption2.trc
16,8,4,Random,2048,20,9,512,5376,21,1.49,413303,372438,40865,2048,38817,90.11%,9.89%,4.41,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,4,Random,2048,20,9,512,5376,21,1.49,420288,356001,64287,2048,62239,84.70%,15.30%,4.88,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,4,Random,2048,20,9,512,5376,21,1.49,490514,447411,43103,2048,41055,91.21%,8.79%,4.38,0.00%,0,0,Corruption2.trc
16,8,8,Round Robin,2048,21,8,256,5632,21,1.51,413303,390863,22440,2048,20392,94.57%,5.43%,4.04,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,8,Round Robin,2048,21,8,256,5632,21,1.51,420288,385012,35276,2048,33228,91.61%,8.39%,4.3,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,8,Round Robin,2048,21,8,256,5632,21,1.51,490514,467720,22794,2048,20746,95.35%,4.65%,4.03,0.00%,0,0,Corruption2.trc
16,8,8,Random,2048,21,8,256,5632,21,1.51,413303,362969,50334,2048,48286,87.82%,12.18%,4.6,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,8,8,Random,2048,21,8,256,5632,21,1.51,420288,346476,73812,2048,71764,82.44%,17.56%,5.07,0.00%,0,0,A-9_new_1.5.pdf.trc
16,8,8,Random,2048,21,8,256,5632,21,1.51,490514,436947,53567,2048,51519,89.08%,10.92%,4.56,0.00%,0,0,Corruption2.trc
16,16,2,Round Robin,1024,19,9,512,2560,18,1.3,377255,360056,17199,1024,16175,95.44%,4.56%,4.02,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,16,2,Round Robin,1024,19,9,512,2560,18,1.3,387850,362116,25734,1024,24710,93.36%,6.64%,4.42,0.00%,0,0,A-9_new_1.5.pdf.trc
16,16,2,Round Robin,1024,19,9,512,2560,18,1.3,446309,428343,17966,1024,16942,95.97%,4.03%,3.97,0.00%,0,0,Corruption2.trc
16,16,2,Random,1024,19,9,512,2560,18,1.3,377255,353096,24159,1024,23135,93.60%,6.40%,4.32,0.00%,0,0,A-10_new_1.5_a.pdf.trc
16,16,2,Random,1024,19,9,512,2560,18,1.3,387850,353083,34767,1024,33743,91.04%,8.96%,4.81,0.00%,0,0,A-9_new_1.5.pdf.trc
